Timestamp,Feature,Pipeline,Model,Accuracy,F1_Macro,AUC_OVR,mAP,Train_Time,Model_File
20260129_212358,MFCC_Default,Raw,KNN,0.63,0.6316546167128286,0.8610833333333332,0.6657450422153602,0.007120370864868164,mfcc_default_raw_knn_20260129_212358.joblib
20260129_212358,MFCC_Default,Raw,SVM,0.27,0.1402671014830344,0.5,0.25,1.6580052375793457,mfcc_default_raw_svm_20260129_212358.joblib
20260129_212358,MFCC_Default,Raw,LR,0.415,0.4218853626450091,0.6756666666666666,0.4569665060324454,0.22027921676635742,mfcc_default_raw_lr_20260129_212358.joblib
20260129_212358,MFCC_Default,Raw,RF,0.65,0.6520566915641289,0.8859666666666667,0.7401362199050593,0.18369293212890625,mfcc_default_raw_rf_20260129_212358.joblib
20260129_212358,MFCC_Default,Raw,ET,0.67,0.6713325655714797,0.89165,0.7483090416981362,0.26674532890319824,mfcc_default_raw_et_20260129_212358.joblib
20260129_212358,MFCC_Default,Scaled,KNN,0.625,0.6278967941137827,0.8444,0.6394816120297364,0.0035636425018310547,mfcc_default_scaled_knn_20260129_212358.joblib
20260129_212358,MFCC_Default,Scaled,SVM,0.64,0.6464195867026056,0.8783000000000001,0.744208473324045,1.3067042827606201,mfcc_default_scaled_svm_20260129_212358.joblib
20260129_212358,MFCC_Default,Scaled,LR,0.42,0.41563614800759013,0.6878333333333333,0.4813394047994636,0.016746044158935547,mfcc_default_scaled_lr_20260129_212358.joblib
20260129_212358,MFCC_Default,Scaled,RF,0.65,0.6520566915641289,0.8859666666666667,0.7401362199050593,0.18485665321350098,mfcc_default_scaled_rf_20260129_212358.joblib
20260129_212358,MFCC_Default,Scaled,ET,0.67,0.6713325655714797,0.89165,0.7483090416981362,0.26230597496032715,mfcc_default_scaled_et_20260129_212358.joblib
